form	lemma	POS	morph
ཐུན་	ཐུན་	NOUN
མིན་	མིན་	AUX
བསམ་	བསམ་	NOUN
མི་	མི་	PART
ཁྱབ་	ཁྱབ་	VERB
ཡིན་	ཡིན་	NO_POS
།་་་་་༄༅། །		PUNCT
མན་ངག་	མན་ངག་	NOUN
ཐོབ་པ་	ཐོབ་པ་	VERB
ཡིན་	ཡིན་	NO_POS
ན་	ལ་	PART
བསམ་	བསམ་	NOUN
མི་	མི་	PART
ཁྱབ་	ཁྱབ་	VERB
ཐུན་མོང་	ཐུན་མོང་	ADJ
མ་ཡིན་པ་	མ་ཡིན་པ་	OTHER
བསྒོམ་	བསྒོམ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
ལ་	ལ་	PART
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
རྩ་ལམ་	རྩ་ལམ་	NO_POS
སྦྱོང་བ་	སྦྱོང་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
དངོས་གཞི་	དངོས་གཞི་	NOUN
བསམ་	བསམ་	NOUN
མི་	མི་	PART
ཁྱབ་	ཁྱབ་	VERB
ཀྱི་	གི་	PART
འོད་གསལ་	འོད་གསལ་	NOUN
ལ་	ལ་	PART
འཇུག་པ་	འཇུག་པ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ནི་	ནི་	NO_POS
ཞར་བྱུང་	ཞར་བྱུང་	OTHER
གི་	གི་	PART
རྫོགས་རིམ་	རྫོགས་རིམ་	NOUN
གྱི་	གི་	PART
མཇུག་	མཇུག་	NOUN
ཏུ་	ལ་	PART
།		PUNCT
ལུས་གནད་	ལུས་གནད་	NO_POS
བསྲང་	བསྲང་	NO_POS
།		PUNCT
རླུང་	རླུང་	NOUN
རོ་	རོ་	NOUN
བསལ་	བསལ་	VERB
།		PUNCT
རང་	རང་	PRON
གི་	གི་	PART
ལུས་	ལུས་	NOUN
ཀྱི་	གི་	PART
དབུ་	དབུ་	NOUN
དྲང་པོ་	དྲང་པོ་	ADJ
ར་	ལ་	PART
རྩ་དབུ་མ་	རྩ་དབུ་མ་	NO_POS
ཕྱི་	ཕྱི་	NOUN
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
ནང་	ནང་	NOUN
དམར་	དམར་	VERB
།		PUNCT
སྦོམ་ཕྲ་	སྦོམ་ཕྲ་	NOUN
སྲིན་མཛུབ་	སྲིན་མཛུབ་	NO_POS
ཙམ་	ཙམ་	DET
ཡ་	ཡ་	OTHER
སྣ་	སྣ་	NOUN
སྤྱི་གཙུག་	སྤྱི་གཙུག་	NOUN
ཏུ་	ལ་	PART
ཟུག་པ་	ཟུག་པ་	VERB
།		PUNCT
གཡའ་	གཡའ་	NOUN
སུ་	ལ་	PART
རོ་	རོ་	NOUN
མ་	མ་	PART
དམར་མོ་	དམར་མོ་	ADJ
།		PUNCT
གཡོན་	གཡོན་	NOUN
དུ་	ལ་	PART
རྐྱང་མ་	རྐྱང་མ་	NO_POS
དཀར་མོ་	དཀར་མོ་	ADJ
།		PUNCT
གཉིས་ཀ་	གཉིས་ཀ་	OTHER
འང་	ཀྱང་	PART
དབུ་མ་	དབུ་མ་	PROPN
ལ་	ལ་	ADP
ས་	གིས་	PART
སུམ་འགྱུར་	སུམ་འགྱུར་	NO_POS
གྱིས་	གིས་	PART
ཕྲ་བ་	ཕྲ་བ་	VERB
།		PUNCT
ཡ་	ཡ་	OTHER
སྣ་	སྣ་	NOUN
སྤྱི་གཙུག་	སྤྱི་གཙུག་	NOUN
ན་	ནས་	PART
གུག་	གུག་	VERB
སྟེ་	སྟེ་	PART
སྣ་བུག་	སྣ་བུག་	NO_POS
གཉིས་	གཉིས་	NUM
སུ་	ལ་	PART
ཟུག་པ་	ཟུག་པ་	VERB
།		PUNCT
གསུམ་	གསུམ་	NUM
ཀ་	ཀ་	DET
འི་	གི་	PART
མ་	མ་	NOUN
སྣ་	སྣ་	NOUN
ལྟེ་འོག་	ལྟེ་འོག་	NO_POS
སོ་	སོ་	PART
ར་	ལ་	PART
བཞི་	བཞི་	NUM
འི་	གི་	PART
ཐད་	ཐད་	NOUN
སྦུབས་	སྦུབས་	NOUN
གཅིག་	གཅིག་	NUM
ཏུ་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
འི་	གི་	PART
དབུ་	དབུ་	NOUN
སུ་	ལ་	PART
བྃ་		NON_WORD
ཡིག་	ཡིག་	NOUN
དང་	དང་	NO_POS
རང་སེམས་	རང་སེམས་	NOUN
དབྱེ་	དབྱེ་	VERB
ར་	ལ་	PART
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
ངོ་བོ་	ངོ་བོ་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
མ་	མ་	PART
མཐེབ་	མཐེབ་	NO_POS
སོ་	སོ་	PART
ར་	ལ་	PART
གྱི་	གི་	PART
ཚད་	ཚད་	NOUN
ཙམ་	ཙམ་	DET
གསལ་བཏབ་	གསལ་བཏབ་	NO_POS
།		PUNCT
དེ་	སྟེ་	PART
ལ་	ལ་	PART
སེམས་	སེམས་	NOUN
གཏད་པ་	གཏད་པ་	VERB
ས་	གིས་	PART
ཐུགས་ཀ་	ཐུགས་ཀ་	NOUN
ན་	ནས་	PART
སྐུ་	སྐུ་	NOUN
ཆུང་ངུ་	ཆུང་ངུ་	ADJ
ཞིག་	ཅིག་	PART
ན་	ན་	ADP
ར་	ལ་	PART
གྱིས་	གིས་	PART
ཆད་	ཆད་	VERB
།		PUNCT
རླུང་	རླུང་	NOUN
ཕྱི་	ཕྱི་	OTHER
རྒྱུ་བ་	རྒྱུ་བ་	VERB
དང་	དང་	NO_POS
ལྷན་ཅིག་	ལྷན་ཅིག་	OTHER
རྩ་	རྩ་	NUM
གཡའ་	གཡའ་	NOUN
རོ་	རོ་	NOUN
མ་	མ་	PART
འི་	གི་	PART
ནང་	ནང་	NOUN
ན་	ནས་	PART
ཡ་	ཡ་	OTHER
དམར་	དམར་	VERB
ཁྱུག་	ཁྱུག་	NO_POS
གིས་	གིས་	PART
བྱོན་	བྱོན་	VERB
།		PUNCT
སྣ་	སྣ་	NOUN
གཡས་པ་	གཡས་པ་	VERB
འི་	གི་	PART
སྒོ་		
སླེབས་པ་	སླེབས་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
དེ་ལས་	དེ་ལས་	NO_POS
དེ་	སྟེ་	PART
འདྲ་བ་	འདྲ་བ་	VERB
བསམ་	བསམ་	NOUN
གྱིས་	གིས་	PART
མི་	མི་	PART
ཁྱབ་པ་	ཁྱབ་པ་	VERB
འཕྲོ་	འཕྲོ་	NOUN
ས་	གིས་	PART
།		PUNCT
སྣོད་བཅུད་	སྣོད་བཅུད་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ལ་	ལ་	PART
ཁྱབ་	ཁྱབ་	VERB
།		PUNCT
འཕགས་པ་	འཕགས་པ་	VERB
རྣམས་	རྣམས་	DET
མཆོད་	མཆོད་	VERB
ཅིང་	ཅིང་	PART
ཐུགས་དམ་	ཐུགས་དམ་	NOUN
བསྐུལ་	བསྐུལ་	VERB
།		PUNCT
སེམས་ཅན་	སེམས་ཅན་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཀྱི་	གི་	PART
སྡིག་སྒྲིབ་	སྡིག་སྒྲིབ་	NOUN
སྦྱངས་	སྦྱངས་	VERB
ཤིང་	ཅིང་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
མ་	མ་	PART
འི་	གི་	PART
སྐུ་	སྐུ་	NOUN
གྱུར་	གྱུར་	VERB
།		PUNCT
དེ་	སྟེ་	PART
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཚུ་		
འདུ་	འདུ་	VERB
སྔ་	སྔ་	NOUN
གྱི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
མ་ལ་	མ་ལ་	INTJ
ཐིམ་	ཐིམ་	NO_POS
།		PUNCT
རླུང་	རླུང་	NOUN
ནང་	ནང་	NOUN
དུ་	ལ་	PART
རྔུབ་པ་	རྔུབ་པ་	NO_POS
དང་	དང་	NO_POS
སྣ་	སྣ་	NOUN
གཡོན་པ་	གཡོན་པ་	ADJ
འི་	གི་	PART
བུ་ག་	བུ་ག་	NOUN
ན་	ནས་	PART
ཞུགས་	ཞུགས་	VERB
།		PUNCT
རྐྱང་མ་	རྐྱང་མ་	NO_POS
འི་	གི་	PART
ལམ་	གམ་	PART
བརྒྱུད་	བརྒྱུད་	NO_POS
ལྟེ་བ་	ལྟེ་བ་	NOUN
འི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
མ་ལ་	མ་ལ་	INTJ
ཐིམ་པ་	ཐིམ་པ་	VERB
ར་	ལ་	PART
བསམ་	བསམ་	NOUN
ཞིང་	ཅིང་	PART
རླུང་	རླུང་	NOUN
ཅི་	ཅི་	NO_POS
ཐུབ་	ཐུབ་	VERB
ཏུ་	ལ་	PART
བཟུང་	བཟུང་	NO_POS
ངོ་	གོ་	PART
། །		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
བུ་	བུ་	NOUN
ལན་	ལན་	NOUN
བདུན་	བདུན་	NUM
སོགས་	སོགས་	DET
ཅི་	ཅི་	NO_POS
ནུས་	ནུས་	VERB
སུ་	ལ་	PART
བྱ་	བྱ་	VERB
།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
ནི་	ནི་	NO_POS
།		PUNCT
ནང་	ནང་	NOUN
གི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
མ་ལ་	མ་ལ་	INTJ
ས་	གིས་	PART
འོད་ཟེར་	འོད་ཟེར་	NOUN
འཕྲོ་	འཕྲོ་	NOUN
ས་	གིས་	PART
།		PUNCT
ལུས་	ལུས་	NOUN
ཀྱི་	གི་	PART
ནང་	ནང་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཁྱབ་	ཁྱབ་	VERB
།		PUNCT
ཡན་ལག་	ཡན་ལག་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
འོད་	འོད་	NOUN
དུ་	ལ་	PART
ཞུ་	ཞུ་	VERB
ན་	ནས་	PART
ཁོག་པ་	ཁོག་པ་	VERB
ལ་	ལ་	PART
ཐིམ་	ཐིམ་	NO_POS
།		PUNCT
དེ་ཉིད་	དེ་ཉིད་	NOUN
